timestamp,src_ip,dst_ip,src_port,dst_port,protocol,length
1733240469.194980,fe80::c054:f2ff:fe05:3d83,ff02::2,,,58,70
1733240469.706107,fe80::4c5b:8eff:fe31:6e6c,ff02::2,,,58,70
1733240470.011282,fe80::6076:70ff:fecb:77e4,ff02::2,,,58,70
1733240473.140062,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240473.140091,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240473.390599,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240473.390640,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240473.638928,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240473.638963,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240473.888942,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240473.888974,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240474.131367,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240474.131400,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240474.374912,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240474.374943,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240474.616992,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240474.617028,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240474.866847,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240474.866881,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240475.111333,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240475.111364,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240475.375009,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240475.375040,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240475.628164,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240475.628203,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240475.870801,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240475.870833,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240476.119425,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240476.119460,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240476.367833,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240476.367868,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240476.614770,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240476.614802,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240476.855001,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240476.855035,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240477.111662,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240477.111694,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240477.367189,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240477.367236,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240477.603958,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240477.603993,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240477.862915,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240477.862949,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240477.899062,fe80::c054:f2ff:fe05:3d83,ff02::2,,,58,70
1733240478.111855,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240478.111889,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240478.154175,fe80::4c5b:8eff:fe31:6e6c,ff02::2,,,58,70
1733240478.157019,fe80::6076:70ff:fecb:77e4,ff02::2,,,58,70
1733240478.367003,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240478.367035,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240478.599208,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240478.599252,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240478.858697,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240478.858739,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240479.114971,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240479.115007,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240479.439256,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240479.439285,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240479.691395,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240479.691426,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240479.934948,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240479.934979,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240480.184263,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240480.184303,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240480.431500,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240480.431533,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240480.692331,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240480.692364,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240480.944623,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240480.944656,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240481.204223,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240481.204260,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240481.471260,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240481.471328,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240481.716343,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240481.716412,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240481.958998,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240481.959040,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240482.202771,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240482.202803,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240482.475557,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240482.475597,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240482.727148,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240482.727185,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240482.971054,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240482.971088,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240483.211788,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240483.211819,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240483.467213,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240483.467245,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240483.723455,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240483.723486,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240483.979263,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240483.979298,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240484.234646,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240484.234679,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240484.491804,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240484.491835,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240484.743823,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240484.743854,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240484.974862,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240484.974893,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240485.211420,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240485.211451,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240485.466866,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240485.466897,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240485.731402,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240485.731438,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240485.975277,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240485.975319,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240486.231192,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240486.231226,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240486.471323,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240486.471358,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240486.719107,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240486.719142,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240486.964243,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240486.964278,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240487.210888,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240487.210919,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240487.467621,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240487.467671,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240487.707551,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240487.707586,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240487.964254,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240487.964291,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240488.243100,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240488.243136,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240488.500199,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240488.500230,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240488.763057,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240488.763098,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240489.012013,10.0.0.1,10.0.0.2,20.0,80.0,6,54
